"course_id";"course_title";"Category_1";"Category_2";"url";"num_reviews";"is_paid";"price";"num_subscribers";"num_lectures";"level";"content_duration";"published_timestamp";"rating";"language";"is_subtitle"
1;"Cyber Security";"IT & Software ";"Network & Security ";"https://www.udemy.com/cyber-security/";7920;"True";200;2147;51;"All Levels";1.5;"2017-01-18T20:58:58Z";3.4;"Hindi";"True"
2;"The Complete Ethical Hacking Course: Beginner to Advanced!";"IT & Software ";"Network & Security ";"https://www.udemy.com/penetration-testing/";5821;"True";75;2792;274;"All Levels";39.0;"2017-03-09T16:34:20Z";3.6;"Japanese";"False"
3;"IP Addressing and Subnetting ";"IT & Software ";"IT Certification ";"https://www.udemy.com/ip-adressing-and-subnetting/";2250;"True";45;2174;51;"Intermediate Level";2.5;"2016-12-19T19:26:30Z";4.0;"English";"False"
4;"AWS Certified Solutions Architect - Associate 2017";"IT & Software ";"IT Certification ";"https://www.udemy.com/aws-certified-solutions-architect-associate/";16836;"True";95;2451;36;"All Levels";3.0;"2017-05-30T20:07:24Z";4.5;"English";"True"
5;"New CCNAx 200-125 Routing and Switching";"IT & Software ";"Network & Security";"https://www.udemy.com/newccnax-200-120/";2636;"True";200;1276;26;"Intermediate Level";2.0;"2016-12-13T14:57:18Z";4.3;"Spanish";"True"
6;"Introduction to networking for complete beginners";"IT & Software ";"Network & Security ";"https://www.udemy.com/introduction-to-networking-for-complete-beginners/";3031;"True";150;9221;25;"All Levels";3.0;"2014-05-02T15:13:30Z";4.9;"Japanese";"False"
7;"Linux Command Line Basics";"IT & Software ";"Operating Systems ";"https://www.udemy.com/linux-command-line-volume1/";3182;"True";65;1540;26;"Beginner Level";1.0;"2016-02-21T18:23:12Z";4.7;"English";"False"
8;"Introduction to Databases and SQL Querying";"IT & Software ";"Other ";"https://www.udemy.com/introduction-to-databases-and-sql-querying/";3868;"True";95;2917;23;"All Levels";2.5;"2015-01-30T22:13:03Z";2.6;"Hindi";"True"
9;"CCNA 200-125 Free Video Course:  OSPF Mastery";"IT & Software ";"Network & Security";"https://www.udemy.com/ccna-boot-camp/";434;"True";195;5172;38;"Expert Level";2.5;"2015-05-28T00:14:03Z";3.4;"English";"False"
10;"Learn The Basics of Ethical Hacking and Penetration Testing";"IT & Software ";"Network & Security ";"https://www.udemy.com/learn-the-basics-of-ethical-hacking-and-penetration-testing/";535;"True";200;827;15;"All Levels";1.0;"2017-04-18T18:13:32Z";3.0;"Hindi";"False"
11;"So You Want to be a Network Engineer?";"IT & Software ";"Network & Security ";"https://www.udemy.com/network-engineer-taster-courses/";860;"True";200;4284;76;"All Levels";5.0;"2015-09-11T16:47:02Z";2.5;"English";"True"
12;"CCNA 2016 200-125 Video Boot Camp With Chris Bryant";"IT & Software ";"Network & Security";"https://www.udemy.com/ccna-on-demand-video-boot-camp/";5901;"True";200;1380;17;"All Levels";1.0;"2016-10-18T22:52:31Z";2.8;"Spanish";"False"
13;"The Definitive Ethical Hacking Course - Learn From Scratch";"IT & Software ";"Network & Security ";"https://www.udemy.com/kali-linux/";1113;"True";30;3607;19;"All Levels";1.5;"2016-02-03T18:04:01Z";4.4;"Japanese";"False"
14;"Start Kali Linux, Ethical Hacking and Penetration Testing!";"IT & Software ";"Network & Security ";"https://www.udemy.com/ethical-hacker/";1604;"True";195;4061;16;"All Levels";2.0;"2016-03-16T15:40:19Z";4.4;"English";"False"
15;"Hadoop Starter Kit";"IT & Software ";"Data science";"https://www.udemy.com/hadoopstarterkit/";3412;"True";200;294;42;"All Levels";7.0;"2017-04-28T16:41:44Z";3.8;"Hindi";"False"
16;"TCP, HTTP and SPDY Deep Dive";"IT & Software ";"Network & Security ";"https://www.udemy.com/tcp-http-spdy-deep-dive/";463;"True";75;2276;19;"Intermediate Level";1.5;"2015-06-22T21:18:35Z";5.0;"English";"True"
17;"Free CCNA Security 210-260 Course:  All About VPNs";"IT & Software ";"Network & Security";"https://www.udemy.com/ccnasecuritypreview/";447;"True";20;4919;16;"Beginner Level";1.5;"2016-01-08T17:21:26Z";3.1;"English";"True"
18;"Learn Linux in 5 Days and Level Up Your Career";"IT & Software ";"Operating Systems ";"https://www.udemy.com/learn-linux-in-5-days/";3115;"True";200;2666;52;"All Levels";4.0;"2015-08-10T21:07:35Z";3.1;"English";"False"
19;"Tech Basics: Cables & Connectors";"IT & Software ";"Network & Security ";"https://www.udemy.com/tech101-cables-and-connectors/";901;"True";50;5354;23;"All Levels";1.5;"2015-09-21T18:10:34Z";4.1;"English";"True"
20;"Introduction to Cloud Computing";"IT & Software ";"Network & Security ";"https://www.udemy.com/introduction-to-cloud-computing/";3786;"True";95;8095;12;"Beginner Level";0.5;"2013-06-09T00:21:26Z";4.9;"English";"False"
21;"Advanced Databases and SQL Querying";"IT & Software ";"Other ";"https://www.udemy.com/advanced-tsql-querying-using-sql-2014/";1246;"True";200;809;25;"All Levels";2.0;"2017-06-06T02:54:04Z";3.4;"English";"True"
